Latitude,Longitude
2806.6013N,8242.9966W
2806.6014N,8242.9966W
2806.6015N,8242.9966W
2806.6016N,8242.9966W
2806.6017N,8242.9966W
2806.6018N,8242.9966W
2806.6018N,8242.9966W
2806.602N,8242.9966W
2806.6022N,8242.9967W
2806.6023N,8242.9967W
2806.6024N,8242.9967W
2806.6025N,8242.9968W
2806.6026N,8242.9968W
2806.6027N,8242.9969W
2806.6027N,8242.9969W
2806.6028N,8242.997W
2806.6028N,8242.997W
2806.6029N,8242.997W
2806.6029N,8242.997W
2806.6029N,8242.997W
2806.6028N,8242.997W
2806.6028N,8242.997W
2806.6027N,8242.997W
2806.6027N,8242.997W
2806.6026N,8242.9971W
2806.6026N,8242.9971W
2806.6025N,8242.9971W
2806.6024N,8242.9971W
2806.6024N,8242.9972W
2806.6024N,8242.9971W
2806.6024N,8242.9971W
2806.6023N,8242.9972W
2806.6023N,8242.9972W
2806.6023N,8242.9972W
2806.6023N,8242.9972W
2806.6023N,8242.9972W
2806.6023N,8242.9972W
2806.6022N,8242.9972W
2806.6022N,8242.9972W
2806.6022N,8242.9972W
2806.6022N,8242.9972W
2806.6022N,8242.9972W
2806.6021N,8242.9972W
2806.6021N,8242.9972W
2806.6019N,8242.997W
2806.6018N,8242.9968W
2806.6016N,8242.9967W
2806.6015N,8242.9965W
2806.6014N,8242.9963W
2806.6013N,8242.996W
2806.6012N,8242.9958W
2806.6011N,8242.9956W
2806.6009N,8242.9955W
2806.6008N,8242.9953W
2806.6007N,8242.9952W
2806.6006N,8242.9951W
2806.6004N,8242.995W
2806.6003N,8242.9948W
2806.6002N,8242.9947W
2806.6001N,8242.9945W
2806.6001N,8242.9945W
2806.6001N,8242.9945W
2806.6001N,8242.9945W
2806.6001N,8242.9945W
2806.6001N,8242.9944W
2806.6001N,8242.9944W
2806.6001N,8242.9943W
2806.6N,8242.9942W
2806.6N,8242.9942W
2806.6N,8242.9941W
2806.6N,8242.9941W
2806.5998N,8242.9942W
2806.5997N,8242.9942W
2806.5996N,8242.9942W
2806.5995N,8242.9943W
2806.5993N,8242.9945W
2806.5992N,8242.9945W
2806.599N,8242.9945W
2806.5989N,8242.9945W
2806.5989N,8242.9945W
2806.5988N,8242.9945W
2806.5988N,8242.9945W
2806.5987N,8242.9945W
2806.5988N,8242.9944W
2806.5988N,8242.9945W
2806.5988N,8242.9946W
2806.5988N,8242.9947W
2806.5988N,8242.9948W
2806.5989N,8242.9948W
2806.5989N,8242.9949W
2806.5989N,8242.9949W
2806.5989N,8242.995W
2806.5989N,8242.995W
2806.5989N,8242.995W
2806.5989N,8242.9951W
2806.599N,8242.9951W
2806.599N,8242.9952W
2806.599N,8242.9952W
2806.5989N,8242.9953W
2806.5989N,8242.9953W
2806.5989N,8242.9954W
2806.5988N,8242.9954W
2806.5988N,8242.9954W
2806.5987N,8242.9954W
2806.5986N,8242.9954W
2806.5986N,8242.9954W
2806.5985N,8242.9954W
2806.5984N,8242.9954W
2806.5983N,8242.9955W
2806.5983N,8242.9955W
2806.5982N,8242.9954W
2806.5981N,8242.9953W
2806.598N,8242.9952W
2806.5978N,8242.9952W
2806.5976N,8242.9952W
2806.5975N,8242.9951W
2806.5974N,8242.995W
2806.5973N,8242.995W
2806.5973N,8242.9949W
2806.5973N,8242.9947W
2806.5974N,8242.9945W
2806.5973N,8242.9944W
2806.5973N,8242.9942W
2806.5973N,8242.9942W
2806.5973N,8242.9942W
2806.5974N,8242.9942W
2806.5974N,8242.9942W
2806.5974N,8242.9941W
2806.5974N,8242.9941W
2806.5974N,8242.9941W
2806.5974N,8242.9941W
2806.5975N,8242.994W
2806.5975N,8242.994W
2806.5975N,8242.994W
2806.5976N,8242.994W
2806.5977N,8242.994W
2806.5978N,8242.994W
2806.5979N,8242.9939W
2806.598N,8242.9939W
2806.5981N,8242.9939W
2806.5982N,8242.9938W
2806.5983N,8242.9938W
2806.5983N,8242.9938W
2806.5984N,8242.9938W
2806.5984N,8242.9938W
2806.5984N,8242.9938W
2806.5984N,8242.9938W
2806.5984N,8242.9938W
2806.5984N,8242.9938W
2806.5984N,8242.9938W
2806.5984N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9939W
2806.5985N,8242.9939W
2806.5985N,8242.9939W
2806.5985N,8242.9939W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9938W
2806.5985N,8242.9937W
2806.5985N,8242.9937W
2806.5985N,8242.9937W
2806.5985N,8242.9937W
2806.5985N,8242.9937W
2806.5986N,8242.9936W
2806.5986N,8242.9936W
2806.5986N,8242.9936W
2806.5986N,8242.9936W
2806.5986N,8242.9935W
2806.5986N,8242.9935W
2806.5986N,8242.9935W
2806.5986N,8242.9935W
2806.5986N,8242.9934W
2806.5986N,8242.9934W
2806.5986N,8242.9934W
2806.5986N,8242.9933W
2806.5986N,8242.9933W
2806.5986N,8242.9933W
2806.5986N,8242.9932W
2806.5986N,8242.9932W
2806.5986N,8242.9932W
2806.5986N,8242.9932W
2806.5986N,8242.9931W
2806.5986N,8242.9931W
2806.5986N,8242.9931W
2806.5987N,8242.9931W
2806.5987N,8242.9931W
2806.5987N,8242.9931W
2806.5987N,8242.993W
2806.5987N,8242.993W
2806.5987N,8242.993W
2806.5987N,8242.993W
2806.5987N,8242.993W
2806.5987N,8242.993W
2806.5987N,8242.9929W
2806.5987N,8242.9929W
2806.5987N,8242.9929W
2806.5987N,8242.9929W
2806.5988N,8242.9928W
2806.5988N,8242.9928W
2806.5988N,8242.9928W
2806.5988N,8242.9928W
2806.5988N,8242.9927W
2806.5988N,8242.9927W
2806.5988N,8242.9927W
2806.5988N,8242.9927W
2806.5988N,8242.9926W
2806.5988N,8242.9926W
2806.5988N,8242.9926W
2806.5988N,8242.9926W
2806.5988N,8242.9925W
2806.5988N,8242.9925W
2806.5988N,8242.9925W
2806.5988N,8242.9924W
2806.5988N,8242.9924W
2806.5988N,8242.9924W
2806.5988N,8242.9924W
2806.5989N,8242.9923W
2806.5989N,8242.9923W
2806.5989N,8242.9923W
2806.5989N,8242.9922W
2806.5989N,8242.9922W
2806.5989N,8242.9922W
2806.5989N,8242.9921W
2806.5989N,8242.9921W
2806.5989N,8242.9921W
2806.5989N,8242.992W
2806.5989N,8242.992W
