latitude,longitude
2806.7205N,8242.7993W
2806.7205N,8242.7992W
2806.7205N,8242.799W
2806.7205N,8242.7989W
2806.7206N,8242.7988W
2806.7205N,8242.7988W
2806.7205N,8242.7987W
2806.7204N,8242.7987W
2806.7204N,8242.7986W
2806.7204N,8242.7986W
2806.7203N,8242.7985W
2806.7203N,8242.7984W
2806.7203N,8242.7983W
2806.7203N,8242.7982W
2806.7203N,8242.7981W
2806.7202N,8242.798W
2806.7202N,8242.7979W
2806.7201N,8242.7978W
2806.72N,8242.7977W
2806.72N,8242.7975W
2806.72N,8242.7974W
2806.72N,8242.7973W
2806.72N,8242.7972W
2806.72N,8242.797W
2806.7199N,8242.797W
2806.7198N,8242.7968W
2806.7197N,8242.7966W
2806.7196N,8242.7965W
2806.7195N,8242.7965W
2806.7194N,8242.7964W
2806.7193N,8242.7964W
2806.7193N,8242.7963W
2806.7192N,8242.7962W
2806.7191N,8242.7961W
2806.719N,8242.796W
2806.7189N,8242.796W
2806.7188N,8242.7959W
2806.7188N,8242.7958W
2806.7187N,8242.7957W
2806.7186N,8242.7956W
2806.7185N,8242.7955W
2806.7184N,8242.7954W
2806.7183N,8242.7952W
2806.7182N,8242.7951W
2806.7181N,8242.7951W
2806.7179N,8242.7953W
2806.7177N,8242.7953W
2806.7177N,8242.7952W
2806.7176N,8242.7951W
2806.7176N,8242.7949W
2806.7175N,8242.7948W
2806.7174N,8242.7947W
2806.7173N,8242.7946W
2806.7173N,8242.7944W
2806.7173N,8242.7942W
2806.7173N,8242.7941W
2806.7173N,8242.7939W
2806.7174N,8242.7937W
2806.7176N,8242.7936W
2806.7177N,8242.7934W
2806.7177N,8242.7933W
2806.7177N,8242.7932W
2806.7177N,8242.793W
2806.7177N,8242.7928W
2806.7177N,8242.7927W
2806.7177N,8242.7926W
2806.7177N,8242.7924W
2806.7176N,8242.7923W
2806.7176N,8242.7922W
2806.7176N,8242.7921W
2806.7177N,8242.7919W
2806.7177N,8242.7918W
2806.7178N,8242.7917W
2806.7179N,8242.7916W
2806.7179N,8242.7914W
2806.7179N,8242.7912W
2806.718N,8242.791W
2806.718N,8242.7908W
2806.718N,8242.7906W
2806.718N,8242.7905W
2806.7181N,8242.7903W
2806.7181N,8242.7902W
2806.7181N,8242.79W
2806.7182N,8242.7899W
2806.7183N,8242.7896W
2806.7184N,8242.7894W
2806.7184N,8242.7893W
2806.7185N,8242.7892W
2806.7185N,8242.789W
2806.7185N,8242.7888W
2806.7184N,8242.7886W
2806.7184N,8242.7884W
2806.7184N,8242.7882W
2806.7185N,8242.7879W
2806.7185N,8242.7877W
2806.7185N,8242.7874W
2806.7185N,8242.7872W
2806.7186N,8242.787W
2806.7186N,8242.7868W
2806.7187N,8242.7867W
2806.7187N,8242.7866W
2806.7186N,8242.7864W
2806.7186N,8242.7861W
2806.7186N,8242.7858W
2806.7187N,8242.7856W
2806.719N,8242.7853W
2806.7192N,8242.7851W
2806.7194N,8242.785W
2806.7195N,8242.785W
2806.7197N,8242.7849W
2806.7197N,8242.785W
2806.7197N,8242.785W
2806.7198N,8242.785W
2806.7198N,8242.785W
2806.7198N,8242.7849W
2806.7199N,8242.7848W
2806.7199N,8242.7846W
2806.7199N,8242.7845W
2806.72N,8242.7845W
2806.7201N,8242.7844W
2806.7201N,8242.7843W
2806.7202N,8242.7841W
2806.7202N,8242.784W
2806.7202N,8242.7838W
2806.7203N,8242.7836W
2806.7203N,8242.7834W
2806.7203N,8242.7832W
2806.7204N,8242.7831W
2806.7204N,8242.7829W
2806.7204N,8242.7828W
2806.7204N,8242.7826W
2806.7204N,8242.7824W
2806.7204N,8242.7822W
2806.7204N,8242.782W
2806.7203N,8242.7818W
2806.7203N,8242.7817W
2806.7202N,8242.7816W
2806.7202N,8242.7815W
2806.7201N,8242.7813W
2806.7201N,8242.7812W
2806.72N,8242.7811W
2806.7201N,8242.781W
2806.72N,8242.7809W
2806.72N,8242.7807W
2806.7199N,8242.7806W
2806.7199N,8242.7805W
2806.7198N,8242.7804W
2806.7196N,8242.7802W
2806.7195N,8242.78W
2806.7194N,8242.7799W
2806.7192N,8242.7798W
2806.7191N,8242.7797W
2806.7191N,8242.7796W
2806.719N,8242.7794W
2806.719N,8242.7793W
2806.7191N,8242.7792W
2806.7191N,8242.7791W
2806.7191N,8242.7789W
2806.7191N,8242.7788W
2806.7191N,8242.7786W
2806.7191N,8242.7785W
2806.719N,8242.7784W
2806.7191N,8242.7783W
2806.719N,8242.7783W
2806.7191N,8242.7783W
2806.719N,8242.7783W
2806.719N,8242.7782W
2806.719N,8242.7781W
2806.7189N,8242.778W
2806.7188N,8242.7779W
2806.7187N,8242.7777W
2806.7187N,8242.7774W
2806.7186N,8242.7773W
2806.7185N,8242.7771W
2806.7184N,8242.777W
2806.7184N,8242.7768W
2806.7183N,8242.7767W
2806.7182N,8242.7766W
2806.7181N,8242.7765W
2806.7181N,8242.7764W
2806.718N,8242.7764W
2806.7179N,8242.7762W
2806.7178N,8242.7761W
2806.7177N,8242.7759W
2806.7176N,8242.7759W
2806.7174N,8242.7759W
2806.7173N,8242.7757W
2806.7172N,8242.7756W
2806.7172N,8242.7753W
2806.7172N,8242.7752W
2806.7172N,8242.7751W
2806.7172N,8242.7749W
2806.7171N,8242.7747W
2806.7171N,8242.7746W
2806.717N,8242.7742W
2806.717N,8242.7739W
2806.717N,8242.7737W
2806.7171N,8242.7735W
2806.7172N,8242.7733W
2806.7173N,8242.7731W
2806.7173N,8242.7727W
2806.7174N,8242.7724W
2806.7174N,8242.7721W
2806.7175N,8242.7717W
2806.7175N,8242.7714W
2806.7176N,8242.7711W
2806.7176N,8242.7709W
2806.7176N,8242.7706W
2806.7176N,8242.7703W
2806.7176N,8242.7701W
2806.7176N,8242.7699W
2806.7175N,8242.7697W
2806.7175N,8242.7696W
2806.7175N,8242.7694W
2806.7175N,8242.7693W
2806.7175N,8242.7693W
2806.7175N,8242.7691W
2806.7174N,8242.769W
2806.7174N,8242.7689W
2806.7174N,8242.7688W
2806.7175N,8242.7687W
2806.7174N,8242.7686W
2806.7174N,8242.7685W
2806.7174N,8242.7684W
2806.7174N,8242.7683W
2806.7174N,8242.7682W
2806.7175N,8242.7679W
2806.7174N,8242.7677W
2806.7174N,8242.7675W
2806.7173N,8242.7674W
2806.7173N,8242.7673W
2806.7172N,8242.7672W
2806.7171N,8242.7671W
2806.717N,8242.7669W
2806.7169N,8242.7666W
2806.7168N,8242.7665W
2806.7168N,8242.7663W
2806.7168N,8242.7663W
2806.7168N,8242.7662W
2806.7168N,8242.766W
2806.7168N,8242.7659W
2806.7168N,8242.7658W
2806.7168N,8242.7657W
2806.7168N,8242.7656W
2806.7167N,8242.7655W
2806.7167N,8242.7654W
2806.7167N,8242.7654W
2806.7167N,8242.7653W
2806.7167N,8242.7651W
2806.7167N,8242.765W
2806.7167N,8242.7649W
2806.7168N,8242.7649W
2806.7168N,8242.7648W
2806.7168N,8242.7647W
2806.717N,8242.7645W
2806.7172N,8242.7643W
2806.7171N,8242.7641W
2806.7176N,8242.7637W
2806.7178N,8242.7635W
2806.7178N,8242.7634W
2806.7178N,8242.7632W
2806.7178N,8242.763W
2806.7178N,8242.7629W
2806.7179N,8242.7626W
2806.7179N,8242.7624W
2806.718N,8242.7621W
2806.718N,8242.7618W
2806.7181N,8242.7616W
2806.7181N,8242.7614W
2806.7182N,8242.7611W
2806.7183N,8242.7609W
2806.7184N,8242.7608W
2806.7185N,8242.7605W
2806.7186N,8242.7601W
2806.7187N,8242.7598W
2806.7187N,8242.7596W
2806.7187N,8242.7594W
2806.7187N,8242.7592W
2806.7188N,8242.7591W
2806.7188N,8242.759W
2806.7188N,8242.759W
2806.7187N,8242.7589W
2806.7187N,8242.7588W
2806.7186N,8242.7586W
2806.7186N,8242.7585W
2806.7185N,8242.7584W
2806.7186N,8242.7583W
2806.7186N,8242.7582W
2806.7185N,8242.7579W
2806.7184N,8242.7578W
2806.7184N,8242.7575W
2806.7184N,8242.7574W
2806.7184N,8242.7573W
2806.7183N,8242.7573W
2806.7183N,8242.7573W
2806.7183N,8242.7572W
2806.7183N,8242.757W
2806.7183N,8242.7567W
